Entity/Individual,US,UK,EU,Switzerland,Canada,Australia,Sectors for Entities as a filter
Al Mashreq Investment Fund,❌,❌,✅,❌,✅,❌,O
Al Watan,✅,❌,❌,❌,❌,❌,O
Ali ABDUL KARIM ALI,✅,❌,❌,❌,❌,❌,O
Ali AL-SALIM,❌,✅,❌,✅,❌,❌,O
Ali Abdullah AYYUB,❌,✅,✅,❌,❌,❌,O
Ali BARAKAT,✅,❌,❌,❌,❌,❌,O
Ali DAWWA,✅,❌,❌,❌,✅,❌,O
Ali DOUBA,❌,❌,❌,✅,✅,❌,O
Ali Habib MAHMOUD,✅,❌,❌,❌,❌,❌,O
Ali MAMLUK,❌,✅,✅,✅,✅,✅,O
Ali WANUS,✅,❌,❌,❌,❌,✅,O
Amar ISMAEL,✅,❌,❌,❌,❌,❌,O
Amjad AL-ABBAS,✅,✅,✅,✅,✅,✅,O
Amr ARMANZI,❌,❌,✅,❌,❌,❌,O
Aous ASLAN,✅,❌,❌,❌,❌,❌,O
Atif NAJIB,✅,✅,❌,✅,❌,✅,O
Ayman AHMAD,❌,❌,❌,✅,❌,❌,O
Ayman JABIR,✅,❌,❌,❌,❌,❌,O
Aziz ALLOUCH,✅,❌,❌,❌,❌,❌,O
Bader AQEL,❌,❌,❌,✅,❌,❌,O
Badi' MU'ALLA,❌,✅,✅,✅,❌,❌,O
Bashar AL-ASSAD,✅,❌,❌,❌,❌,❌,O
Bassam Mirhaj AL-HASSAN,✅,❌,❌,❌,❌,❌,O
Bayan BITAR,✅,❌,❌,❌,❌,❌,O
Bena Properties,✅,❌,❌,❌,❌,❌,O
Bouthaina SHAABAN,✅,✅,❌,❌,❌,❌,O
Business Lab,❌,✅,✅,✅,✅,❌,O
Cham Holding,✅,✅,✅,❌,✅,✅,O
Cham Investment Group,✅,❌,❌,❌,❌,❌,O
Cham Press TV,✅,✅,❌,❌,✅,❌,O
Commercial Bank of Syria,❌,✅,❌,❌,✅,✅,O
Denise Company,✅,❌,❌,❌,❌,❌,O
El-Tel Co.,✅,❌,❌,❌,❌,❌,O
Expert Partners,❌,❌,❌,✅,❌,❌,O
Fahd Jasim AL-FURAYJ,❌,❌,❌,✅,❌,❌,O
Farhan MAHFUD,✅,❌,❌,❌,❌,❌,O
Farouk AL-SHARA,❌,❌,❌,✅,❌,❌,O
Firas AHMAD,✅,❌,❌,❌,❌,❌,O
Fo'ad HAMOUDEH,❌,❌,❌,✅,❌,❌,O
Fu'ad TAWIL,✅,❌,❌,❌,❌,❌,O
George CHAOUI,✅,❌,❌,❌,❌,❌,O
Ghassan ABBAS,✅,❌,❌,❌,❌,❌,O
Ghassan AFIF,✅,❌,❌,❌,✅,❌,O
Ghassan Ali BELAL,✅,❌,❌,❌,❌,❌,O
Ghassan KHALIL,❌,✅,❌,❌,❌,✅,O
Ghiath FAYAD,✅,❌,❌,❌,✅,❌,O
Habib HAWRANI,✅,❌,❌,❌,❌,❌,O
Hafez MAKHLOUF,✅,❌,❌,❌,❌,❌,O
Hala SIRHAN,✅,❌,❌,❌,❌,❌,O
Hamcho International,✅,❌,❌,❌,❌,❌,O
Handasieh - Organization for Engineering Industries,❌,❌,❌,✅,✅,❌,O
Hayel AL-ASSAD,✅,❌,❌,❌,❌,❌,O
Haytham ASMAR,✅,❌,❌,❌,❌,❌,O
Higher Institute of Applied Science and Technology,✅,❌,❌,❌,❌,❌,O
Hossein TAEB,❌,✅,❌,✅,✅,❌,O
Husam SUKKAR,✅,❌,❌,❌,❌,❌,O
Ibrahim AL-HASSAN,❌,❌,✅,❌,❌,❌,O
Ihab MAKHLOUF,❌,❌,❌,✅,✅,❌,O
Industrial Solutions,❌,✅,❌,❌,✅,✅,O
Iranian Revolutionary Guard Corps Qods Force,❌,❌,❌,✅,✅,❌,O
Iyad MAKHLOUF,✅,✅,✅,✅,✅,✅,O
Iyad Mohammad Esam MAHROUS,✅,❌,❌,❌,✅,❌,O
Iyad SALIM,✅,❌,❌,❌,❌,❌,O
Jamal YUNES,✅,❌,❌,❌,❌,❌,O
Jamil HASSAN,✅,❌,❌,❌,✅,✅,O
Jawdat Ibrahim SAFI,✅,❌,❌,❌,❌,❌,O
Jawdat Salbi MAWAS,✅,❌,❌,❌,❌,❌,O
Jihad Mohamed SULTAN,✅,❌,❌,❌,❌,❌,O
Jumah AL-AHMAD,✅,❌,❌,❌,❌,❌,O
Khald AL-TAWEEL,✅,❌,❌,❌,❌,❌,O
Khalid QADDUR,❌,✅,❌,✅,✅,✅,O
Khalil ZGHRAYBIH,✅,❌,❌,❌,❌,❌,O
Kifah MOULHEM,❌,❌,❌,✅,✅,❌,O
Lu'ai AL-ALI,❌,❌,❌,✅,✅,❌,O
Lu‑ay DA‑UD,❌,❌,❌,✅,❌,❌,O
Ma'n GHANIM,✅,❌,❌,❌,❌,❌,O
Maan JDIID,❌,✅,✅,✅,✅,❌,O
Mada Transport Group,✅,❌,❌,❌,❌,❌,O
Mahir AL-ASSAD,❌,✅,✅,✅,❌,❌,O
Mahrous Group,✅,❌,❌,❌,❌,❌,O
Mahrous Trading FZE,❌,❌,❌,❌,✅,❌,O
Makhmoud AL-KHATTIB,✅,❌,❌,❌,❌,❌,O
Mashhur AL‑HUSAYN,✅,❌,❌,❌,❌,❌,O
Mechanical Construction Factory,✅,❌,❌,❌,❌,❌,O
Megatrade,❌,❌,❌,❌,✅,❌,O
Military Housing Establishment,✅,❌,❌,❌,❌,❌,O
Misbah MIRDASH,✅,❌,❌,❌,❌,❌,O
Mohamed HAMCHO,✅,❌,❌,❌,❌,❌,O
Mohamed Heikmat IBRAHIM,✅,❌,❌,❌,❌,❌,O
Mohamed KHADDOR,✅,❌,❌,❌,❌,❌,O
Mohamed MAARUF,✅,❌,❌,❌,❌,❌,O
Mohammad AL-SHAAR,✅,❌,❌,❌,❌,❌,O
Mohammad Ali JAFARI,✅,❌,❌,❌,❌,❌,O
Mohammad Dib ZEITOUN,✅,❌,❌,❌,❌,❌,O
Mohammad Ibrahim AL-SHA’AR,✅,❌,❌,❌,❌,❌,O
Mohammad MUFLEH,✅,❌,❌,❌,❌,❌,O
Mohammed JABIR,✅,❌,❌,❌,❌,❌,O
Muhammad Ali DURGHAM,✅,❌,❌,❌,❌,❌,O
Muhammad Hisham Fu'ad YUSUF,✅,❌,❌,❌,❌,❌,O
Muhammad Khayr SUKHAYTAH,✅,❌,❌,❌,❌,❌,O
Muhammad Mahmud MAHALLA,✅,❌,❌,❌,❌,❌,O
Muhammad Nafi BILAL,✅,❌,❌,❌,❌,❌,O
Muhammad Said BUKHAYTAN,✅,❌,❌,❌,❌,❌,O
Muhammad ZAMRINI,✅,❌,❌,❌,❌,❌,O
Muhammed Bin‑Muhammed Faris QUWAYDIR,❌,❌,❌,✅,✅,❌,O
Muhammed IBRAHIM,✅,❌,❌,❌,❌,❌,O
Mujahed ISMAIL,✅,❌,❌,❌,❌,❌,O
Mundir AL-ASSAD,✅,❌,❌,❌,❌,❌,O
Munir ADANOV,✅,❌,❌,❌,❌,❌,O
Muzhir SHARBA,✅,❌,❌,❌,❌,❌,O
NAZIH,✅,❌,❌,❌,❌,❌,O
Naim Jasem SULEIMAN,✅,❌,❌,❌,❌,❌,O
Nasser AL-ALI,✅,❌,❌,❌,❌,❌,O
National Standards and Calibration Laboratory,✅,❌,❌,❌,❌,❌,O
Nawful AL-HUSAYN,✅,❌,❌,❌,❌,❌,O
Nazih HASSUN,✅,❌,❌,❌,❌,❌,O
Nizar AL-ASSAD,✅,❌,❌,❌,❌,❌,O
Organisation for Technological Industries,✅,❌,❌,❌,❌,❌,O
Ra'if AL-QUWATLI,✅,❌,❌,❌,❌,❌,O
Rafiq SHAHADAH,✅,❌,❌,❌,❌,❌,O
Rajab DAYYUB,✅,❌,❌,❌,❌,❌,O
Ramadan Mahmoud RAMADAN,✅,❌,❌,❌,❌,❌,O
Ramak Constructions Co.,✅,❌,❌,❌,❌,❌,O
Rami MAKHLOUF,✅,❌,❌,❌,❌,❌,O
Riyad CHALICHE,✅,❌,❌,❌,❌,❌,O
Saji' DARWISH,✅,❌,❌,❌,❌,❌,O
Salah HABIB,✅,❌,❌,❌,❌,❌,O
Samir DA'BUL,✅,❌,❌,❌,❌,❌,O
Scientific Studies and Research Centre,✅,✅,❌,✅,✅,✅,O
Shadi for Cars Trading,✅,❌,❌,❌,❌,❌,O
Sigma Tech,✅,❌,❌,❌,❌,❌,O
Souruh Company,✅,❌,❌,❌,❌,❌,O
Suhayl Hasan AL-HASAN,✅,❌,❌,❌,✅,❌,O
Syrian Air Force Intelligence,✅,❌,❌,❌,❌,❌,O
Syrian Company for Information Technology,✅,✅,❌,❌,❌,❌,O
Syrian General Intelligence Directorate,✅,❌,❌,❌,❌,❌,O
Syrian Lebanese Commercial Bank,✅,❌,❌,❌,❌,❌,O
Syrian Military Intelligence,✅,❌,❌,❌,❌,❌,O
Syrian National Security Bureau,✅,❌,✅,✅,❌,❌,O
Syrian Political Security Directorate,✅,❌,❌,❌,❌,❌,O
Syriatel,✅,❌,❌,❌,❌,❌,O
Syriss Logistics and Services,✅,❌,❌,❌,❌,❌,O
Syronics - Syrian Arab Co. for Electronic Industries,✅,❌,❌,❌,❌,❌,O
Tahir Hamid KHALIL,✅,❌,❌,❌,❌,❌,O
Talal MAKHLUF,✅,❌,❌,❌,❌,❌,O
Talal Mustafa TLASS,✅,❌,❌,❌,❌,❌,O
Tawfiq YOUNES,✅,❌,❌,❌,❌,❌,O
Tayseer Qala AWWAD,✅,❌,❌,❌,❌,❌,O
Technolab,✅,❌,❌,❌,❌,❌,O
Tha'ir DAYYUB,✅,❌,❌,❌,❌,❌,O
Wafiq NASSER,✅,❌,❌,❌,❌,❌,O
Wajih MAHMUD,✅,❌,❌,❌,❌,❌,O
Yasin Ahmad DAHI,✅,❌,❌,❌,❌,❌,O
Yona Star International,✅,❌,❌,❌,✅,❌,O
Yousef ISMAIL,✅,❌,❌,❌,❌,❌,O
Yusuf AL‑HATUM,✅,❌,❌,❌,❌,❌,O
Yusuf MA'TUQ,✅,❌,❌,❌,✅,❌,O
Zoulhima CHALICHE,✅,❌,❌,❌,❌,❌,O
Zuhair HAMAD,✅,❌,❌,❌,❌,❌,O
Zuhayr HAYDAR,❌,❌,❌,✅,❌,❌,O
Zuhayr RABAH,✅,❌,❌,❌,❌,❌,O
Aleksei DROGANOV,❌,❌,❌,✅,❌,❌,O
Aleksey KRIVORUCHKO,✅,❌,❌,❌,❌,❌,O
Aleksey Vasilyevich ANICHIN,❌,✅,✅,✅,✅,✅,O
Alexander Ivanovich BASTRYKIN,✅,❌,❌,❌,❌,❌,O
Alexandra Viktorovna GAUS/GAUSS,❌,✅,✅,✅,❌,❌,O
Alexei Nikolaevich SHESHENIA,✅,❌,❌,❌,❌,❌,O
Alexei Nikolaevich SHESHENYA,✅,❌,❌,❌,✅,✅,O
Andrei Alekseyevich PAVLOV,✅,❌,❌,❌,❌,❌,O
Andrei Alexandrovich KRECHETOV,❌,❌,❌,✅,✅,❌,O
Andrei Alexandrovich STRIZHOV,❌,❌,❌,✅,✅,❌,O
Andrey Ivanovich PECHEGIN,✅,❌,❌,❌,❌,❌,O
Artem Konstantinovich KUZNETSOV,✅,✅,❌,❌,❌,✅,O
Boris Borisovich KIBIS,✅,❌,❌,❌,❌,❌,O
Dmitri TOLCHINSKIY,✅,❌,❌,❌,❌,❌,O
Dmitriy KOMNOV,✅,❌,❌,❌,❌,❌,O
Dmitry Borisovich KRATOV,✅,❌,❌,❌,✅,❌,O
Dmitry Vladislavovich KLYUEV,✅,❌,❌,❌,❌,❌,O
Elena Anatolievna TRIKULYA,✅,❌,❌,❌,❌,❌,O
Fikret TAGIYEV,✅,❌,❌,✅,✅,✅,O
Gennady Nikolaevich PLAKSIN,✅,❌,❌,❌,❌,❌,O
Gennady Vyacheslavovich KARLOV,✅,❌,❌,❌,❌,❌,O
Ivan Pavlovitch PROKOPENKO,✅,❌,❌,❌,❌,❌,O
Larisa Anatolievna LITVINOVA,✅,❌,❌,❌,❌,❌,O
Natalya VINOGRADOVA,✅,❌,❌,❌,❌,❌,O
Oleg F. SILCHENKO,✅,❌,❌,❌,❌,❌,O
Oleg LOGUNOV,✅,❌,❌,❌,❌,❌,O
Oleg Vyacheslavovich URZHUMTSEV,✅,❌,❌,❌,❌,❌,O
Olga Germanovna STEPANOVA,✅,❌,❌,❌,❌,❌,O
Pavel Aleksandrovich KARPOV,✅,❌,❌,❌,❌,❌,O
Pavel LAPSHOV,✅,❌,❌,❌,❌,❌,O
Sergei PODOPRIGOROV,✅,✅,❌,❌,❌,❌,O
Stanislav Evgenievich GORDIEVSKY,✅,❌,❌,❌,❌,❌,O
Svetlana UKHNALYOVA,✅,❌,❌,❌,❌,❌,O
Victor Yakovlevich GRIN,✅,❌,❌,❌,❌,❌,O
Viktor Aleksandrovich MARKELOV,✅,❌,❌,✅,❌,❌,O
Vladlen Yurievich STEPANOV,✅,❌,❌,❌,❌,❌,O
Vyacheslav Georgievich KHLEBNIKOV,✅,❌,❌,❌,❌,❌,O
Yelena Ivanovna KHIMINA,✅,❌,❌,❌,❌,❌,O
Yelena STASHINA,✅,❌,❌,❌,❌,❌,O
Yulia Mikhailovna MAYOROVA,✅,❌,❌,❌,❌,❌,O
Abdulkhakim Gadzhiyev,✅,❌,❌,❌,❌,❌,O
Adalbi Shhagoshev,✅,❌,❌,❌,❌,❌,O
Aidar Metshin,✅,❌,❌,❌,❌,❌,O
Airat Farrakhov,✅,❌,❌,❌,❌,❌,O
Akhmed Dogayev,✅,❌,❌,❌,❌,❌,O
Aleksander Pavlovich LAPIN,✅,❌,❌,❌,❌,❌,O
Aleksander Vladimirovich GUTSAN,✅,❌,❌,❌,❌,❌,O
Aleksandr Aksyonenko,✅,✅,✅,✅,✅,✅,O
Aleksandr Anatolevich Skachkov,✅,❌,❌,❌,❌,❌,O
Aleksandr Borisovich TOTOONOV,✅,❌,❌,❌,❌,❌,O
Aleksandr Igorevich KOFMAN,✅,❌,❌,❌,❌,❌,O
Aleksandr Kozlovskiy,✅,❌,❌,❌,❌,❌,O
Aleksandr Pavlovich Teterdinko,✅,❌,❌,✅,❌,❌,O
Aleksandr Prokopyev,✅,❌,❌,❌,❌,❌,O
Aleksandr Remezkov,✅,❌,❌,❌,✅,❌,O
Aleksandr Samokutyaev,✅,✅,❌,❌,✅,✅,O
Aleksandr Sergeevich MALYKHIN,✅,❌,❌,❌,❌,❌,O
Aleksandr Shcherbakov,✅,❌,❌,❌,❌,❌,O
Aleksandr Terentyev,✅,❌,❌,✅,✅,❌,O
Aleksandr Viktorovich GALKIN,❌,❌,❌,❌,✅,❌,O
Aleksandr Viktorovich VITKO,❌,✅,❌,✅,✅,✅,O
Aleksandr Yurevich BORODAI,❌,❌,❌,❌,✅,❌,O
Aleksandr Yurevich Spiridonov,✅,❌,❌,❌,❌,❌,O
Aleksei Didenko,✅,❌,❌,❌,❌,❌,O
Aleksei Mikhailovich CHALIY,✅,❌,❌,❌,❌,❌,O
Aleksei PUSHKOV,❌,❌,❌,✅,❌,❌,O
Aleksei Zhuravlyev,❌,❌,❌,✅,✅,❌,O
Aleksey Govyrin,✅,❌,❌,❌,❌,❌,O
Aleksey Sitnikov,✅,❌,❌,❌,❌,❌,O
Aleksey Vladimirovich ZAVIZON,✅,❌,❌,❌,❌,❌,O
Aleksey Vyacheslavovich KARYAKIN,✅,❌,❌,❌,❌,❌,O
Aleksey Yezubov,✅,✅,❌,✅,✅,✅,O
Aleksey Yurevich KRIVORUCHKO,✅,❌,❌,❌,❌,❌,O
Alexander Akimovich KARAMAN,✅,❌,❌,❌,❌,❌,O
Alexander Alexandrovich ZHURAVLYOV,✅,✅,✅,✅,✅,✅,O
Alexander Borissov,✅,❌,❌,❌,✅,❌,O
Alexander Borodai,❌,❌,❌,✅,✅,❌,O
Alexander Drozdov,✅,❌,❌,❌,❌,❌,O
Alexander Iltyakov,❌,❌,❌,❌,✅,❌,O
Alexander KHODAKOVSKY,❌,❌,❌,❌,✅,❌,O
Alexander Kogan,✅,✅,✅,✅,✅,✅,O
Alexander Maximov,❌,❌,❌,✅,✅,❌,O
Alexander Mazhuga,❌,❌,✅,✅,✅,❌,O
Alexander Mihailovich NOSATOV,✅,❌,❌,❌,❌,❌,O
Alexander Nikolaevich GANOV,✅,✅,✅,✅,✅,✅,O
Alexander Nikolayevich TKACHYOV,❌,✅,❌,✅,✅,❌,O
Alexander Rumyantsev,❌,❌,❌,❌,✅,❌,O
Alexander Vasilyevich BORTNIKOV,❌,❌,❌,❌,✅,❌,O
Alexander Vasilyevich FOMIN,✅,❌,❌,❌,❌,❌,O
Alexander Vitaliyovych KHRYAKOV,✅,❌,❌,❌,❌,❌,O
Alexander Yakubovsky,❌,✅,✅,✅,✅,✅,O
Alexander Yurievich TIMOFEYEV,✅,❌,❌,❌,❌,❌,O
Alexander Yushchenko,✅,❌,❌,❌,❌,❌,O
Alexandr Arkadievich KALYUSSKY,❌,❌,❌,❌,✅,❌,O
Alexandr Vasilievich SHUBIN,❌,❌,✅,❌,✅,✅,O
Alexei Alexeyevich GROMOV,❌,❌,❌,❌,✅,✅,O
Alexei Kanayev,✅,❌,❌,❌,❌,❌,O
Alexei Lavrinenko,✅,❌,❌,❌,❌,❌,O
Alexey Chernyak,✅,❌,❌,❌,❌,❌,O
Alexey Korniyenko,✅,❌,❌,❌,❌,❌,O
Alexey Kurinny,✅,❌,❌,❌,❌,❌,O
Alexey Veller,✅,❌,❌,❌,❌,❌,O
Alexey Yurevich MILCHAKOV,✅,❌,❌,❌,❌,❌,O
Alfia Kogogina,✅,❌,❌,❌,❌,❌,O
Aljona Igorevna Arschinova,✅,❌,❌,❌,❌,❌,O
Alla Leonidovna Salaeva,✅,❌,❌,❌,❌,❌,O
Almaz-Antey,✅,❌,❌,❌,❌,❌,O
Anatoli Aksakov,✅,❌,❌,❌,❌,❌,O
Anatoli Lisitsyn,✅,❌,❌,❌,❌,❌,O
Anatoli Vyborny,✅,❌,❌,❌,❌,❌,O
Anatoliy Alekseevich SIDOROV,✅,❌,❌,❌,❌,❌,O
Anatoliy Lesun,✅,❌,❌,❌,❌,❌,O
Anatoliy Voronovskiy,✅,❌,❌,❌,❌,❌,O
Anatoly Anatolyevich SERYSHEV,✅,❌,❌,❌,❌,❌,O
Anatoly Bifov,✅,❌,❌,❌,❌,❌,O
Anatoly Karpov,✅,❌,❌,❌,❌,❌,O
Anatoly Wasserman,✅,❌,❌,❌,❌,❌,O
Andrei Aleksandrovich KLISHAS,✅,❌,❌,❌,❌,❌,O
Andrei Alexandrovich FURSENKO,✅,❌,❌,❌,❌,❌,O
Andrei Anatolyevich Alekhin,✅,❌,❌,❌,❌,❌,O
Andrei Gimbatov,✅,❌,✅,❌,❌,❌,O
Andrei Issajev,✅,❌,❌,❌,❌,❌,O
Andrei Kuznetsov,✅,❌,❌,❌,❌,❌,O
Andrei Sergeyevich IVANAYEV,✅,❌,❌,❌,❌,❌,O
Andrei Skoch,✅,❌,❌,❌,✅,❌,O
Andrey Alshevskih,✅,❌,❌,❌,❌,❌,O
Andrey Anikeyev,✅,❌,❌,❌,❌,❌,O
Andrey Borisovich Shein,✅,❌,❌,❌,❌,❌,O
Andrey Dmitrievich KOZENKO,✅,❌,❌,❌,❌,❌,O
Andrey Doroshenko,✅,❌,❌,❌,❌,❌,O
Andrey Fedorovich Trifonov,✅,❌,❌,❌,❌,❌,O
Andrey Gorokhov,✅,❌,❌,❌,❌,❌,O
Andrey Gurulev,✅,❌,❌,❌,❌,❌,O
Andrey Ivanovich SYCHEVOY,✅,❌,❌,❌,❌,❌,O
Andrey Kartapolov,✅,❌,❌,❌,❌,❌,O
Andrey Kolesnik,✅,❌,❌,❌,❌,❌,O
Andrey Lugovoy,✅,❌,❌,❌,❌,❌,O
Andrey Markov,✅,❌,❌,❌,❌,❌,O
Andrey Nikolaevich RODKIN,✅,❌,❌,❌,❌,❌,O
Andrey Nikolaevich SERDYUKOV,✅,❌,❌,❌,❌,❌,O
Andrey Vorobev,✅,❌,❌,❌,❌,❌,O
Andrey Yurevich PINCHUK,✅,❌,❌,❌,❌,❌,O
Andrii Shypitsyn,✅,❌,❌,❌,❌,❌,O
Andriy Evgenevich PURGIN,✅,❌,❌,❌,❌,❌,O
Anton Basansky,✅,❌,❌,❌,❌,❌,O
Anton Eduardovich VAINO,✅,❌,❌,❌,❌,❌,O
Anton Getta,✅,❌,❌,❌,❌,❌,O
Anton Gorelkin,✅,❌,❌,❌,❌,❌,O
Anton Krasnoshtanov,✅,❌,❌,❌,❌,❌,O
Anton Nemkin,❌,✅,✅,✅,✅,✅,O
Anton Shipulin,❌,✅,❌,✅,✅,✅,O
Anzhelika Glazkova,✅,❌,❌,❌,✅,❌,O
Aquanika,✅,❌,❌,❌,❌,❌,O
Arkady Ponomarev,✅,✅,✅,✅,✅,✅,O
Arkady Romanovich ROTENBERG,✅,❌,❌,❌,❌,❌,O
Arkady Svistunov,✅,❌,❌,❌,❌,❌,O
Army of the Southeast,✅,❌,❌,❌,❌,❌,O
Artur Taymazov,✅,❌,❌,❌,❌,❌,O
Artyom Bichayev,✅,❌,❌,❌,❌,❌,O
Artyom Prokofyev,✅,❌,❌,❌,❌,❌,O
Artyom Turov,❌,❌,❌,❌,✅,❌,O
Avia Group LLC,✅,❌,❌,❌,❌,❌,O
Avia Group Nord LLC,✅,❌,❌,❌,❌,❌,O
Aydyn Nikolaevich Saryglar,✅,❌,❌,❌,❌,❌,O
Azat Ferdinandovich Yagafarov,❌,❌,❌,❌,✅,❌,O
Azov Distillery Plant,✅,❌,❌,❌,❌,❌,O
Badma Bashankayev,❌,❌,❌,✅,❌,❌,O
Bank Rossiya,✅,❌,❌,❌,❌,❌,O
Bekkhan Agayev,✅,❌,❌,❌,❌,❌,O
Bekkhan Barakhoyev,✅,❌,❌,❌,❌,❌,O
Black Sea Bank for Development and Reconstruction,✅,❌,❌,❌,❌,❌,O
Boris Chernyshov,❌,❌,❌,✅,❌,❌,O
Boris Gladkikh,❌,❌,❌,✅,❌,❌,O
Boris Ivanyuzhenkov,❌,❌,❌,✅,✅,❌,O
Boris Komotsky,✅,❌,❌,✅,✅,❌,O
Boris LITVINOV,✅,❌,❌,❌,❌,❌,O
Boris Paykin,❌,✅,❌,❌,❌,✅,O
Boris Romanovich ROTENBERG,✅,❌,❌,❌,❌,❌,O
Boris Vyacheslavoich GRYZLOV,✅,❌,❌,❌,❌,❌,O
Chernomorneftegaz,❌,❌,❌,❌,❌,✅,O
Colonel-General Alexander DVORNIKOV,❌,❌,❌,❌,✅,❌,O
Colonel-General Andrei Valeryevich KARTAPOLOV,✅,❌,❌,❌,❌,❌,O
Cossack National Guard,❌,❌,❌,✅,❌,❌,O
Crimean Sea Ports,❌,✅,✅,✅,❌,❌,O
Daniil Bessarabov,❌,❌,❌,✅,❌,❌,O
Denis Aleksandrovich BORTNIKOV,✅,❌,❌,❌,❌,❌,O
Denis Kravchenko,✅,❌,❌,❌,❌,❌,O
Denis Maidanov,✅,❌,❌,❌,❌,❌,O
Denis Nikolaevich Miroshnichenko,✅,❌,❌,❌,❌,❌,O
Denis Parfyonov,✅,❌,❌,❌,❌,❌,O
Denis Vladimirovich PUSHILIN,✅,❌,❌,❌,❌,❌,O
Deniz Valentinovich BEREZOVSKIY,❌,❌,❌,✅,❌,❌,O
Dinar Gilmutdinov,✅,❌,❌,❌,❌,❌,O
Dmitri Kuznetsov,✅,❌,❌,❌,❌,❌,O
Dmitri Pirog,❌,❌,❌,❌,❌,✅,O
Dmitriy Lameykin,✅,❌,❌,❌,❌,❌,O
Dmitriy Lotsmanov,❌,❌,❌,❌,✅,✅,O
Dmitriy Viktorovich,✅,❌,❌,❌,✅,✅,O
Dmitry Aleksandrovich SEMYONOV,✅,❌,❌,❌,❌,❌,O
Dmitry Anatolievich BELIK,❌,❌,❌,✅,❌,❌,O
Dmitry Anatolyevich Medvedev,✅,✅,❌,❌,❌,❌,O
Dmitry Gusev,✅,❌,❌,❌,❌,❌,O
Dmitry Islamov,✅,❌,❌,❌,❌,❌,O
Dmitry Kadenkov,✅,❌,❌,❌,✅,❌,O
Dmitry Nikolayevich KOZAK,✅,❌,❌,❌,❌,❌,O
Dmitry Novikov,✅,❌,❌,❌,❌,❌,O
Dmitry OVSYANNIKOV,✅,❌,❌,❌,❌,❌,O
Dmitry Olegovich ROGOZIN,✅,❌,❌,❌,❌,❌,O
Dmitry Savelyev,✅,❌,❌,❌,❌,❌,O
Dmitry Svishchev,✅,❌,❌,❌,❌,❌,O
Dmitry Valerievich UTKIN,✅,❌,❌,❌,❌,❌,O
Dmitry Vitalyevich BULGAKOV,✅,❌,❌,❌,❌,❌,O
Donbass People’s Militia,✅,❌,❌,❌,❌,❌,O
Donetsk Republic (Public Organisation),✅,❌,❌,❌,❌,❌,O
Dzhamaladin Gasanov,✅,❌,❌,❌,❌,❌,O
Eduard Aleksandrovich BASURIN,✅,❌,❌,❌,❌,❌,O
Ekaterina Borisovna Altabaeva,✅,❌,❌,❌,❌,❌,O
Ekaterina Eduardovna Pyrkova,✅,❌,❌,❌,❌,❌,O
Ekaterina Stenyakina,❌,❌,❌,✅,❌,❌,O
Ekaterina Vladimirovna FILIPPOVA,❌,❌,❌,✅,❌,❌,O
Ekaterina Vladimirovna Kharchenko,✅,❌,❌,❌,❌,❌,O
Ekaterina Yurievna GUBAREVA,❌,❌,❌,✅,❌,❌,O
Elena Aleksandrovna GEORGIEVA,✅,❌,❌,❌,❌,❌,O
Elena Moiseevna Tsunaeva,✅,❌,❌,❌,❌,❌,O
Elvira Aitkulova,✅,❌,❌,❌,❌,❌,O
Ernest Valeev,❌,❌,❌,✅,❌,❌,O
Evgeniy Nifantiev,❌,❌,❌,✅,✅,❌,O
Evgeny Eduardovich MIKHAYLOV,❌,❌,❌,✅,✅,❌,O
Evgeny Pervyshov,❌,❌,❌,✅,❌,❌,O
Evgeny Vladimirovich MANUILOV,❌,❌,❌,✅,❌,❌,O
Evgeny Vyacheslavovich ORLOV,✅,❌,❌,❌,❌,❌,O
Factory of Sparkling Wine Novy Svet – State Enterprise,✅,❌,❌,❌,❌,❌,O
Federal State of Novorossiya,❌,❌,❌,✅,❌,❌,O
Federal United Enterprise ‘Crimea Railway’,❌,✅,❌,✅,❌,❌,O
Fedir Dmytrovych BEREZIN,❌,❌,❌,✅,✅,❌,O
Fedot Tumusov,✅,❌,❌,❌,✅,❌,O
Feodosiya Enterprise,❌,❌,❌,✅,❌,❌,O
First Crimean Insurance Company,✅,❌,❌,❌,❌,❌,O
Galina Danchikova,❌,❌,❌,✅,❌,❌,O
Galina Khovanskaya,✅,❌,❌,❌,❌,❌,O
Genbank,✅,❌,❌,❌,✅,❌,O
Gennadiy Panin,❌,❌,❌,✅,✅,❌,O
Gennadiy Sklyar,✅,❌,❌,❌,❌,❌,O
Gennady Nikolayevich TIMCHENKO,✅,❌,❌,❌,❌,❌,O
Gennady Andreevich Zyuganov,✅,❌,❌,❌,✅,❌,O
Gennady Semigin,❌,✅,❌,❌,❌,✅,O
Gennady Valeryevich ZHIDKO,✅,❌,❌,❌,❌,❌,O
Georgiy L'vovich MURADOV,✅,❌,❌,❌,❌,❌,O
Georgy Kamnev,✅,❌,❌,❌,❌,❌,O
Georgy Karlov,✅,❌,❌,❌,❌,❌,O
German PROKOPIV,✅,❌,❌,❌,❌,❌,O
Grigori Wiktorowitsch Anikeev,✅,❌,❌,❌,❌,❌,O
Igor Aleksandrovich KORNET,✅,❌,❌,❌,❌,❌,O
Igor Ananskikh,✅,❌,❌,❌,❌,❌,O
Igor Anatolyevich KOMAROV,✅,❌,❌,❌,❌,❌,O
