Sanctioned Entity/Individual,US,UK,EU,Switzerland,Canada,Australia,Japan,Type,Sanctions Lists,Notes,
Eximbank Of Russia JSC,✅,❌,❌,❌,❌,❌,❌,Entity,,,
"Eyanski Elevator, OAO",✅,❌,❌,❌,❌,❌,❌,Entity,,,
Fabryka Maszyn Transportowych „Omsk” SA,❌,❌,✅,✅,❌,❌,❌,Entity,,,
Faik Sameddin ogly Mamedov,❌,❌,✅,✅,✅,❌,❌,Individual,,,
Famil Kamil Ogly Sadygov,✅,✅,❌,❌,✅,❌,❌,Individual,,,
Farit Mubarakshevich Mukhametshin,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Farkhad Akhmedov,❌,✅,✅,✅,✅,❌,❌,Individual,,,
Faruk Yigit,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Fatima Shaykhievna Khazueva,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Fau 'Glavgosekspertiza Rossii',✅,❌,❌,❌,❌,❌,❌,Entity,,,
Fawaz Mikhail Gerges,❌,✅,✅,✅,❌,❌,❌,Individual,,,
Federal    Research Center Boreskov Institute,❌,❌,❌,✅,❌,❌,❌,Entity,,,
Federal Center for Dual-Use Technology (FTsDT) Soyuz,❌,❌,❌,✅,❌,❌,❌,Entity,,,
Federal Center For Project Finance,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Federal Government Institution Pretrial Detention Center No 1 Of The Directorate Of The Federal Penitentiary Service For The Republic Of Crimea And Sevastopol,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Federal Research Center Institute of Applied Physics of the Russian Academy of Sciences,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Federal Security Service,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Federal Service for Military-Technical Cooperation,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Federal State Autonomous Institution Military Innovative Technopolis ERA,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Federal State Autonomous Scientific Establishment Scientific Research Institute Specialized Security Computing Devices And Automation,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Federal State Budget Institution for Science and Research 'All-Russia National Scientific Research Institute for Wine Growing and Wine Making 'MAGARACH' Russian Academy of Sciences',❌,✅,❌,✅,❌,❌,❌,Entity,,,
Federal State Budgetary Enterprise ‘Production-Agrarian Union “Massandra”’ of the Administration of the President of the Russian Federation,✅,✅,✅,✅,✅,✅,❌,Entity,,,
"Federal State Budgetary Enterprise ""Sanatorium Nizhnyaya Oreanda"" of the Administration of the President of the Russian Federation",❌,✅,❌,✅,❌,❌,❌,Entity,,,
Federal State Budgetary Enterprise of the,❌,❌,❌,❌,❌,❌,❌,Entity,,,
Federal State Budgetary Enterprise of the Administration of the President of Russia,❌,❌,❌,✅,❌,❌,❌,Entity,,,
Federal State Budgetary Enterprise Special Flight Unit Rossiya of the Administration of the President of Russia,❌,❌,❌,✅,✅,❌,❌,Entity,,,
Federal State Budgetary Institution Marine Rescue Service,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Federal State Budgetary Scientific Institution Research and Production Complex Technology Center,✅,❌,❌,❌,❌,❌,✅,Entity,,,
Federal State Financed Institution of Science Higher Education Institution Spectroscopy of the Russian Federation Academy of Sciences,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Federal State Financed Institution of Science Physical Higher Education Institution Named After P. N. Lebedeva of the Russian Federation Academy Sciences,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Federal State Financed Institution of Science Physics and Technology Institute Named After A. F. Ioffe of the Russian Federation Academy of Sciences,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Federal State Financed Institution of Science Physics and Technology Institute Named After K. A. Valieva of the Russian Federation Academy of Sciences,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Federal State Institution Federal Scientific Center Scientific Research Institute for System Analysis of the Russian Academy of Sciences,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Federal State of Novorossiya,✅,✅,✅,✅,✅,✅,✅,Entity,,,
Federal State Unitary Enterprise “Crimea Railway”,❌,✅,❌,✅,✅,✅,❌,Entity,,,
Federal State Unitary Enterprise Dukhov Automatics Research Institute,❌,✅,❌,✅,❌,❌,❌,Entity,,,
Federal State Unitary Enterprise Kronshtadtskyy Morskoy Factory Minoborony Rossii,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Federal State Unitary Enterprise State Research and Production Enterprise Bazalt,✅,❌,❌,✅,✅,❌,❌,Entity,,,
Federal Sue Shipyard 'Morye',✅,❌,❌,❌,❌,❌,❌,Entity,,,
Federation,❌,❌,❌,❌,✅,❌,❌,Entity,,,
Fedot Semonovich Tumusov,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Fentex Properties LTD.,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Feodosia,✅,❌,❌,❌,✅,✅,✅,Entity,,,
Fesco Magadan,✅,❌,❌,❌,❌,❌,❌,Vessel,,,
Fesco Moneron,✅,❌,❌,❌,❌,❌,❌,Vessel,,,
Fikret Tagyiev,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Finansovy Assistent Cjsc,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Finval,✅,❌,❌,❌,❌,❌,❌,Vessel,,,
Firma Veardon Ooo,✅,❌,❌,❌,❌,❌,❌,Entity,,,
First Crimean Insurance Company,❌,✅,❌,✅,✅,✅,❌,Entity,,,
Fku Uprdor 'Taman',✅,❌,❌,❌,❌,❌,❌,Entity,,,
Flying Fox,✅,❌,❌,❌,❌,❌,❌,Vessel,,,
FNPTs Titan-Barrikady JSC,✅,✅,❌,❌,✅,❌,❌,Entity,,,
Foreign Intelligence Service,❌,❌,❌,✅,✅,❌,❌,Entity,,,
Foreign Trade Association Mashpriborintorg,❌,❌,❌,✅,❌,❌,❌,Entity,,,
Foreign trade bank,❌,❌,❌,❌,❌,❌,✅,Entity,,,
Forensic Center of Nizhniy Novgorod,❌,❌,❌,✅,❌,❌,❌,Entity,,,
Forss Technology Ltd,❌,✅,✅,✅,✅,❌,❌,Entity,,,
Fortuna,✅,❌,❌,❌,❌,❌,❌,Vessel,,,
Fyodor Dmitrievich Berezin,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Galina Aleksandrovna Filatova,❌,❌,❌,❌,✅,❌,❌,Individual,,,
Galina Alekseyevna Tokareva,✅,✅,❌,❌,✅,✅,✅,Individual,,,
Galina Evgenyevna Pumpyanskaya,❌,✅,✅,✅,✅,❌,❌,Individual,,,
Galina Innokentyevna Danchikova,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Galina Nikolayevna Karelova,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Galina Nikolayevna Solodun,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Galina Olegovna Ulyutina,✅,❌,❌,❌,✅,❌,❌,Individual,,,
Galina Petrovna Khovanskaya,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Galina Rodionovna Lukashenko,❌,❌,❌,❌,❌,✅,❌,Individual,,,
Galina Viktorivna Danilchenko,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Galina Vladimirovna Redko,❌,❌,✅,✅,❌,❌,❌,Individual,,,
Garantex Europe Ou,✅,✅,❌,❌,❌,❌,❌,Entity,,,
Gas Industry Insurance Company Sogaz,❌,✅,✅,✅,❌,✅,❌,Entity,,,
Gasret Aliev,✅,❌,❌,❌,❌,❌,❌,Vessel,,,
Gaz Group,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Gaz-Alyans Ooo,✅,❌,❌,❌,✅,❌,❌,Entity,,,
"Gaz-oil, Ooo",✅,❌,❌,❌,❌,❌,❌,Entity,,,
Gazkardservis Ooo,✅,❌,❌,❌,❌,❌,❌,Entity,,,
"Gazmash, Ao",✅,❌,❌,❌,❌,❌,❌,Entity,,,
Gazprom,❌,❌,❌,❌,✅,✅,❌,Entity,,,
"Gazprom Burenie, Ooo",✅,❌,❌,❌,❌,❌,❌,Entity,,,
"Gazprom Dobycha Irkutsk, Ooo",✅,❌,❌,❌,❌,❌,❌,Entity,,,
"Gazprom Dobycha Krasnodar, Ooo",✅,❌,❌,❌,❌,❌,❌,Entity,,,
"Gazprom Dobycha Kuznetsk, Ooo",✅,❌,❌,❌,❌,❌,❌,Entity,,,
"Gazprom Dobycha Nadym, Ooo",✅,❌,❌,❌,❌,❌,❌,Entity,,,
"Gazprom Dobycha Noyabrsk, Ooo",✅,❌,❌,❌,❌,❌,❌,Entity,,,
"Gazprom Dobycha Urengoi, Ooo",✅,❌,❌,❌,❌,❌,❌,Entity,,,
"Gazprom Dobycha Yamburg, Ooo",✅,❌,❌,❌,❌,❌,❌,Entity,,,
"Gazprom Energo, Ooo",✅,❌,❌,❌,❌,❌,❌,Entity,,,
"Gazprom Flot, Ooo",✅,❌,❌,❌,❌,❌,❌,Entity,,,
"Gazprom Gaznadzor, Ooo",✅,❌,❌,❌,❌,❌,❌,Entity,,,
"Gazprom Gazobezopasnost, Ooo",✅,❌,❌,❌,❌,❌,❌,Entity,,,
"Gazprom Geologorazvedka, Ooo",✅,❌,❌,❌,❌,❌,❌,Entity,,,
"Gazprom Inform, Ooo",✅,❌,❌,❌,❌,❌,❌,Entity,,,
"Gazprom Invest, Ooo",✅,❌,❌,❌,❌,❌,❌,Entity,,,
"Gazprom Kapital, Ooo",✅,❌,❌,❌,❌,❌,❌,Entity,,,
"Gazprom Komplektatsiya, Ooo",✅,❌,❌,❌,❌,❌,❌,Entity,,,
Gazprom Media Holding,✅,❌,❌,❌,✅,❌,❌,Entity,,,
"Gazprom Mezhregiongaz, Ooo",✅,❌,❌,❌,❌,❌,❌,Entity,,,
Gazprom Neft,✅,❌,❌,✅,❌,✅,❌,Entity,,,
"Gazprom Pererabotka, Ooo",✅,❌,❌,❌,❌,❌,❌,Entity,,,
"Gazprom Personal, Ooo",✅,❌,❌,❌,❌,❌,❌,Entity,,,
"Gazprom Promgaz, Ao",✅,❌,❌,❌,❌,❌,❌,Entity,,,
"Gazprom Russkaya, Ooo",✅,❌,❌,❌,❌,❌,❌,Entity,,,
"Gazprom Sotsinvest, Ooo",✅,❌,❌,❌,❌,❌,❌,Entity,,,
"Gazprom Svyaz, Ooo",✅,❌,❌,❌,❌,❌,❌,Entity,,,
"Gazprom Telekom, Ooo",✅,❌,❌,❌,❌,❌,❌,Entity,,,
"Gazprom Transgaz Kazan, Ooo",✅,❌,❌,❌,❌,❌,❌,Entity,,,
"Gazprom Transgaz Krasnodar, Ooo",✅,❌,❌,❌,❌,❌,❌,Entity,,,
"Gazprom Transgaz Makhachkala, Ooo",✅,❌,❌,❌,❌,❌,❌,Entity,,,
"Gazprom Transgaz Nizhni Novgorod, Ooo",✅,❌,❌,❌,❌,❌,❌,Entity,,,
"Gazprom Transgaz Samara, Ooo",✅,❌,❌,❌,❌,❌,❌,Entity,,,
"Gazprom Transgaz Sankt-peterburg, Ooo",✅,❌,❌,❌,❌,❌,❌,Entity,,,
"Gazprom Transgaz Saratov, Ooo",✅,❌,❌,❌,❌,❌,❌,Entity,,,
"Gazprom Transgaz Stavropol, Ooo",✅,❌,❌,❌,❌,❌,❌,Entity,,,
"Gazprom Transgaz Surgut, Ooo",✅,❌,❌,❌,❌,❌,❌,Entity,,,
"Gazprom Transgaz Tomsk, Ooo",✅,❌,❌,❌,❌,❌,❌,Entity,,,
"Gazprom Transgaz Ufa, Ooo",✅,❌,❌,❌,❌,❌,❌,Entity,,,
"Gazprom Transgaz Ukhta, Ooo",✅,❌,❌,❌,❌,❌,❌,Entity,,,
"Gazprom Transgaz Volgograd, Ooo",✅,❌,❌,❌,❌,❌,❌,Entity,,,
"Gazprom Transgaz Yugorsk, Ooo",✅,❌,❌,❌,❌,❌,❌,Entity,,,
"Gazprom Tsentrremont, Ooo",✅,❌,❌,❌,❌,❌,❌,Entity,,,
"Gazprom Vniigaz, Ooo",✅,❌,❌,❌,❌,❌,❌,Entity,,,
Gazprombank,✅,✅,❌,✅,✅,✅,❌,Entity,,,
Gazprombank (Switzerland) Ltd,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Gazprombank Latin America Ventures Bv,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Gazprombank Leasing Zao,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Gazprombank Upravlenie Aktivami,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Gazpromneft,❌,❌,❌,✅,✅,❌,❌,Entity,,,
Genbank,✅,✅,❌,❌,✅,✅,❌,Entity,,,
Gennadii Anatolievich Nikulov,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Gennadiy Ivanovich Sklyar,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Gennadiy Medvedev,✅,❌,❌,❌,✅,❌,❌,Individual,,,
Gennadiy Mikhaylovich Buneev,❌,✅,✅,✅,✅,❌,✅,Individual,,,
Gennadiy Nikolaiovych Tsypkalov,❌,❌,❌,❌,✅,❌,✅,Individual,,,
Gennadiy Olegovich Panin,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Gennadiy Oleksandrovich Shelestenko,✅,❌,❌,❌,✅,❌,❌,Individual,,,
Gennady Andreyevich Zyuganov,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Gennady Egorovich Emelyanov,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Gennady Evgenievich Kovalchuk,❌,✅,✅,✅,✅,✅,✅,Individual,,,
Gennady Georgiyevich Melikyan,❌,✅,❌,❌,❌,❌,❌,Individual,,,
Gennady Ivanovich Ordenov,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Gennady Nikolaevich Plaksin,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Gennady Nikolayevich Timchenko,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Gennady Pavlovich Naraev,❌,❌,❌,❌,✅,❌,❌,Individual,,,
Gennady Valeryevich Zhidko,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Gennady Vladimirovich Yagubov,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Gennady Vyacheslavovich Karlov,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Gennady Yuryevich Semigin,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Genrikh Gasanov,✅,❌,❌,❌,❌,❌,❌,Vessel,,,
Geopolitica,✅,✅,❌,❌,❌,✅,❌,Entity,,,
Georgiy Dmytrovych Kalenov,❌,❌,❌,❌,✅,❌,❌,Individual,,,
Georgiy L'Vovich Muradov,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Georgiy Sergeyevich Poltavchenko,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Georgy Aleksandrovich Karlov,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Georgy Konstantinovich Arapov,✅,✅,✅,✅,❌,✅,❌,Individual,,,
Georgy Petrovich Kamnev,✅,✅,✅,✅,✅,✅,✅,Individual,,,
German Borisovich Khan,❌,✅,✅,✅,✅,✅,❌,Individual,,,
German Nikolaevich Kulemin,❌,❌,✅,✅,✅,❌,❌,Individual,,,
German Oskarovich Gref,✅,✅,✅,✅,✅,✅,❌,Individual,,,
German Prokopiv,❌,✅,✅,✅,✅,✅,✅,Individual,,,
German Rustemovich Kadyrov,❌,✅,✅,✅,✅,❌,✅,Individual,,,
German Valentinovich Belous,✅,✅,❌,❌,❌,❌,❌,Individual,,,
"Giprotruboprovod, Ao",✅,❌,❌,❌,❌,❌,❌,Entity,,,
Gleb Sergeevich Frank,✅,❌,❌,❌,✅,❌,✅,Individual,,,
Gleb Sergeyevich Nikitin,❌,✅,❌,❌,✅,❌,❌,Individual,,,
Gleb Yakovlevich Khor,✅,✅,✅,✅,❌,✅,✅,Individual,,,
Globexbank,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Gmcs Management Limited Liability Company,✅,❌,❌,❌,❌,❌,❌,Entity,,,
God Semenovich Nisanov,✅,✅,❌,❌,❌,✅,❌,Individual,,,
Gorizont Jsc,❌,❌,❌,❌,✅,❌,❌,Entity,,,
GosNIIkhimanalit    JSC,❌,❌,❌,✅,✅,❌,❌,Entity,,,
Gpb Financial Services Limited,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Gpb Global Resources Bv,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Gpb International Sa,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Gpb Invest Ooo,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Gpb-di Holdings Limited,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Gpb-factoring Ooo,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Gpb-mortgage Jsc,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Graceful,✅,❌,❌,❌,❌,❌,❌,Vessel,,,
Graham William Phillips,❌,✅,❌,❌,❌,❌,❌,Individual,,,
Grand Service Express,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Grigoriy Alexeyevich Rapota,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Grigoriy Viktorovich Molchanov,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Grigory Borisovich Karasin,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Grigory Petrovich Ledkov,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Grigory Vikotorovitsj Berezkin,❌,✅,✅,✅,✅,✅,❌,Individual,,,
Grigory Viktorovich Anikeev,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Grigory Vladimirovich Belyaev,❌,❌,❌,❌,✅,❌,❌,Individual,,,
Grigory Vladimirovich Shilkin,✅,✅,✅,✅,❌,✅,✅,Individual,,,
Gtlk  Asia Limited,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Gtlk Europe Capital Designated Activity Company,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Gtlk Europe Designated Activity Company,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Gulbakhor Ismailova,❌,✅,✅,✅,❌,❌,❌,Individual,,,
Gup Rk Ktb Sudokompozit,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Hosein Akbari Nodeh,✅,❌,❌,❌,❌,❌,❌,Individual,,,
"Ia InfoRos, Ooo",✅,❌,❌,❌,❌,❌,❌,Entity,,,
"Ifdk, Zao",✅,❌,❌,❌,❌,❌,❌,Entity,,,
Igor Albertovich Kesaev,❌,✅,✅,✅,✅,✅,❌,Individual,,,
Igor Aleksandrovich Ananskikh,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Igor Aleksandrovich Kornet,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Igor Alexandrovich Antropenko,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Igor Alexandrovich Putin,❌,✅,❌,❌,❌,✅,❌,Individual,,,
Igor Anatolyevich Ilyash,❌,❌,✅,✅,❌,❌,❌,Individual,,,
Igor Anatolyevich Komarov,✅,✅,❌,❌,✅,✅,❌,Individual,,,
Igor Arkadyevich Rotenberg,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Igor Borisovich Alisov,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Igor Borisovich Dobros,❌,❌,❌,❌,✅,❌,❌,Individual,,,
Igor Dmitrievich Sergun,✅,❌,❌,❌,✅,❌,❌,Individual,,,
Igor Dmitryevich Zubarev,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Igor Evgenevich Kakidzyanov,❌,✅,✅,✅,✅,✅,✅,Individual,,,
Igor Evgenievich Fedotov,❌,❌,✅,✅,✅,❌,❌,Individual,,,
Igor Evgenievich Konashenkov,❌,✅,✅,✅,✅,❌,❌,Individual,,,
Igor Georgievich Artamonov,❌,✅,❌,❌,✅,❌,❌,Individual,,,
Igor Ivanovich Sechin,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Igor Ivanovich Shuvalov,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Igor Kondrashov,❌,✅,❌,❌,❌,❌,❌,Individual,,,
Igor Nikolaevich Bezler,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Igor Nikolaevich Halepa,❌,✅,✅,✅,✅,✅,✅,Individual,,,
Igor Nikolaevich Ryabushkin,❌,✅,✅,✅,✅,❌,✅,Individual,,,
Igor Nikolaevich Zaviyalov,✅,❌,❌,❌,✅,❌,❌,Individual,,,
Igor Nikolayevich Igoshin,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Igor Nikolayevich Mikhailichenko,❌,❌,❌,❌,✅,❌,❌,Individual,,,
Igor Nikolayevich Morozov,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Igor Nikolayevich Rudensky,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Igor Nikolayevich Shubin,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Igor Nikoolaevich Turchenyuk,❌,✅,✅,✅,✅,✅,❌,Individual,,,
Igor Olegovich Kostyukov,✅,❌,❌,❌,✅,✅,✅,Individual,,,
Igor Olegovich Shchegolev,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Igor Petrovich Vitchenko,❌,❌,❌,❌,✅,❌,❌,Individual,,,
Igor Sergeievich Shevchenko,❌,✅,✅,✅,✅,✅,✅,Individual,,,
Igor Strelkov,❌,❌,✅,❌,❌,❌,❌,Individual,,,
Igor Valentinovich Korobov,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Igor Valentinovich Pashkov,❌,✅,✅,✅,✅,❌,✅,Individual,,,
Igor Valerievich Lavrenkov,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Igor Valerievich Rusanov,✅,✅,❌,❌,✅,❌,❌,Individual,,,
Igor Venediktovich Maslov,❌,✅,✅,✅,❌,❌,❌,Individual,,,
Igor Venediktovich Plotnitsky,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Igor Victorovich Krasnov,✅,✅,❌,❌,✅,✅,✅,Individual,,,
Igor Viktorovich Demidenko,❌,✅,✅,✅,❌,❌,❌,Individual,,,
Igor Viktorovich Makarov,❌,✅,❌,❌,✅,✅,❌,Individual,,,
Igor Viktorovich Matrus,❌,✅,✅,✅,✅,❌,✅,Individual,,,
Igor Vladimirovich Lebedev,❌,✅,✅,✅,✅,❌,❌,Individual,,,
Igor Vladimirovich Mozhilovsky,❌,✅,❌,✅,❌,✅,❌,Individual,,,
Igor Vladimirovich Nesterov,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Igor Vladimirovich Osipov,❌,✅,✅,✅,✅,✅,✅,Individual,,,
Igor Vladimirovich Panchenko,✅,❌,❌,❌,✅,❌,❌,Individual,,,
Igor Vladimirovich Yanchuk,❌,❌,❌,❌,✅,❌,❌,Individual,,,
Igor Vsevolodovich Girkin,✅,✅,❌,✅,✅,✅,✅,Individual,,,
Igor Yurievich Antipov,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Igor Yurievich Korotchenko,❌,✅,✅,✅,✅,❌,❌,Individual,,,
Igor Yuryevich Kastyukevich,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Igor Yuryevich Martynov,❌,❌,✅,❌,✅,❌,✅,Individual,,,
Ihor Ihororvych Semenchev,✅,❌,❌,❌,✅,❌,❌,Individual,,,
Ihor Vladymyrovych Kostenok,❌,✅,✅,✅,✅,✅,✅,Individual,,,
Iks Joint Stock Company,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Ildar Irekovich Gilmutdinov,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Ilgam Kuchukov,❌,✅,❌,❌,✅,✅,❌,Individual,,,
Iliyas Magomed-salamovich Umakhanov,✅,✅,❌,❌,✅,❌,❌,Individual,,,
Illia Volodymyrovych Kiva,❌,❌,❌,❌,✅,❌,❌,Individual,,,
Illia Volodymyrovych Kyva,✅,❌,❌,❌,❌,✅,❌,Individual,,,
Ilya Anatolyevich Markov,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Ilya Borisovich Brodskiy,✅,✅,❌,❌,❌,❌,❌,Individual,,,
Ilya Bubnov,❌,✅,❌,❌,❌,❌,❌,Individual,,,
Ilya Dmitrievich Medvedev,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Ilya Loginov,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Ilya Svetoslavovich Volfson,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Ilya Vasilyevich Shestakov,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Ilya Vladimirovich Eliseev,❌,✅,❌,❌,❌,❌,❌,Individual,,,
Ilya Vladimirovich Yeliseyev,❌,❌,❌,❌,✅,❌,❌,Individual,,,
Ima Consulting,❌,✅,❌,❌,❌,❌,❌,Entity,,,
Imenie Tsargrad OOO,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Imperial Yachts Sarl,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Imperiya 19-31 Ooo,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Independent Insurance Group,❌,❌,✅,✅,❌,❌,❌,Entity,,,
Industrial Savings Bank (IS Bank),✅,✅,❌,❌,❌,✅,❌,Entity,,,
Industrial-Commercial Private Unitary Enterprise Minotor-Service,❌,❌,❌,❌,❌,✅,❌,Entity,,,
Ineko Llc,❌,❌,❌,✅,❌,❌,❌,Entity,,,
Informakustika JSC,✅,❌,❌,✅,❌,❌,❌,Entity,,,
"InfoRos, Ooo",✅,✅,❌,❌,❌,✅,❌,Entity,,,
Inna Nikolayevna Guzeyeva,❌,✅,✅,✅,✅,❌,❌,Individual,,,
Inna Valeryevna Layevskaya,❌,❌,❌,❌,✅,❌,❌,Individual,,,
Inna Yakovlevna Bravermen,❌,❌,❌,❌,✅,❌,❌,Individual,,,
Inna Yuryevna Svyatenko,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Inresbank Llc,✅,❌,❌,❌,✅,❌,❌,Entity,,,
"Instar Lodzhistiks, Ooo",✅,❌,❌,❌,❌,❌,❌,Entity,,,
"Institut Stroiproekt, Ao",✅,❌,❌,❌,❌,❌,❌,Entity,,,
Institute of High Energy Physics,❌,❌,❌,✅,❌,❌,❌,Entity,,,
Institute of Instrument Design (NIIP),❌,❌,❌,❌,✅,❌,❌,Entity,,,
Institute of Theoretical and Experimental Physics,❌,❌,❌,✅,❌,❌,❌,Entity,,,
Insurance Company Sberbank Insurance Limited Liability Company,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Insurance Company Sberbank Life Insurance Limited Liability Company,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Integral  Spb,❌,✅,❌,✅,✅,❌,❌,Entity,,,
Inteltech Pjsc,❌,❌,❌,✅,✅,❌,❌,Entity,,,
Interior Affairs,❌,❌,❌,❌,✅,❌,❌,Entity,,,
International Anticrisis Center,✅,❌,❌,❌,❌,❌,❌,Entity,,,
International Center for Quantum Optics and Quantum Technologies,✅,❌,❌,✅,❌,❌,✅,Entity,,,
International Helicopters Programs Limited Liability Company,✅,❌,❌,❌,❌,❌,❌,Entity,,,
International Union of Public Associations ‘Great Don Army’,❌,✅,✅,✅,✅,✅,✅,Entity,,,
International Union of Virtual Media,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Internet Research Agency,❌,✅,✅,✅,❌,✅,✅,Entity,,,
Interregional Social Organization Union of Donbas Volunteers,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Invention Bridge Sl,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Invest Capital Bank,✅,❌,❌,❌,✅,✅,❌,Entity,,,
Investitsionnaya Kompaniya Mmk-Finans,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Inzhener Trubin,✅,❌,❌,❌,❌,❌,❌,Vessel,,,
Inzhener Veshnyakov,✅,❌,❌,❌,❌,❌,❌,Vessel,,,
Iohann Mahmastal,✅,❌,❌,❌,❌,❌,❌,Vessel,,,
"Ionov Transkontinental, Ooo",✅,❌,❌,❌,❌,❌,❌,Entity,,,
